Time,Distance,angle,PosX,PosZ,AngleX,AngleY,AngleZ
0,0,0,31.63,-0.68,0,22.70003,0
0.2110745,0.09349969,42.93335,31.63,-0.68,22.72374,16.55255,0.09194371
0.4216215,0.05730021,15.5099,31.63,-0.68,12.92299,9.818911,359.4784
0.6365521,0.02918184,17.75242,31.63,-0.68,0.6142639,357.0531,359.617
0.8522484,0.02401994,5.055761,31.62918,-0.6560136,358.5381,355.776,359.9275
1.068184,0.4062968,2.514892,31.60906,-0.2502184,0.01984059,357.8178,359.9847
1.28355,0.7437556,3.946463,31.5841,0.4931062,3.701411,359.2431,359.9823
1.498918,0.6659408,6.148387,31.58418,1.158973,8.330296,3.131433,359.9583
1.714284,0.2152168,4.241632,31.59644,1.373816,11.46648,5.55601,359.9799
1.929865,0.4066037,0.7298882,31.63393,1.778688,12.33878,5.264594,-0.002561962
2.145112,0.7444952,0.03956468,31.70206,2.520059,12.4083,5.206833,-0.0004101608
2.360689,0.7546001,1.215763,31.76882,3.271699,11.18825,4.844174,-0.0008218483
2.57575,0.6859998,0.07912936,31.82652,3.955268,10.93785,4.76362,-0.0001817946
2.791957,0.7546003,0.03956468,31.88916,4.707263,10.89251,4.845285,-2.097519E-05
3.006484,0.7545994,0,31.95386,5.459084,10.88587,5.039807,-1.086773E-06
3.221851,0.7545997,0,32.02026,6.210757,10.8849,5.068383,-5.433849E-08
3.437291,0.7546004,0,32.08694,6.962405,10.88476,5.07258,5.433845E-08
3.652589,0.6859992,0,32.14759,7.645717,10.88474,5.073183,5.433845E-08
3.867951,0.7546002,0,32.24523,8.392452,10.88473,5.073298,-1.086769E-07
4.083328,0.5259411,0,32.60121,8.64,10.88473,5.0733,-2.173538E-07
4.298683,0.02998734,0,32.6312,8.64,10.88473,5.0733,-1.630153E-07
4.514051,0,0,32.6312,8.64,10.88473,5.0733,-1.630153E-07
4.729417,0,0,32.6312,8.64,10.88473,5.0733,-2.173538E-07
4.944784,0,0,32.6312,8.64,10.88473,5.0733,-1.630153E-07
5.160151,0,0,32.6312,8.64,10.88473,5.0733,-2.173538E-07
5.376154,0,0,32.6312,8.64,10.88473,5.0733,-2.173538E-07
5.590887,0,0,32.6312,8.64,10.88473,5.0733,-1.630153E-07
5.806572,0,0,32.6312,8.64,10.88473,5.0733,-2.173538E-07
6.021846,0,0,32.6312,8.64,10.88473,5.0733,-1.630153E-07
6.236984,0,0,32.6312,8.64,10.88473,5.0733,-2.173538E-07
6.45235,0,0,32.6312,8.64,10.88473,5.0733,-2.173538E-07
6.667719,0,0,32.6312,8.64,10.88473,5.0733,-1.630153E-07
