Time,Dialog,Character,LastTime,TimePreWord
1.945519,Hey- see you again.,MainCharacter,0.0716821,0.01433642
2.017201,OH- HI. ARE YOU FOLLOWING ME?,Girl,0.2178237,0.03111768
2.235025,I’M ...NO..I’M JUST ,MainCharacter,0.1226649,0.02453298
2.35769,I’M KIDDING. NO WORRIES. I RECOGNIZE YOU- I THINK WE LIVED IN THE SAME NEIGHBORHOOD.,Girl,0.1407979,0.008799866
2.498488, YOU LOOK FAMILIAR TO ME TOO. BUT I DONT THINK I VE SEEN YOU.  JUST FAMILIAR. ,MainCharacter,0.1223512,0.006117559
2.620839,WANT A RIDE?,Girl,0.1427395,0.03568488
2.763579,WHAT?,MainCharacter,0.1406581,0.07032907
2.904237,I SAW YOU DON'T HAVE AN UMBRELLA. AND WE LIVE CLOSE. I THINK WE CAN GO TOGETHER.,Girl,0.1401768,0.007787598
3.044414,OF COURSE. THANK YOU!,MainCharacter,0.1414356,0.02828712
3.3083,Hey,MainCharacter,0.1568964,0.07844818
3.465197,What?,Girl,0.8101795,0.4050897
