Time,State
69.07587,TalkWithManInCafe
126.6741,TryGoInRain
192.74,WalkInStreetOne
255.34,SeeBuilding
260.96,BorrowUmbrella
342.6,WalkInStreetTwo
383.86,SeeTakePhoto
419.56,SeeGirlStreetTwo
424.7614,FindGirlStreetTwo
437.58,WalkInStreetThree
467.4,WalkOutStreetThree
507.42,InBusStop
535.974,WalkWithGirl
614.44,WalkInStreetFour
630.4854,ListenToMusic
749.16,WalkOutStreetFour
825.64,WalkIntoPeople
860.6516,WalkAcrossRoadWithGirl
870.6747,DepartFromGirl
871.6861,FindGirl
976.58,WalkInStreetColorful
1018.84,PlayEndAnimation
1025.015,End
