Time,Dialog,Character,LastTime,TimePreWord
159.781,OH HELL. IT RAINS.,MainCharacter,4.715775,0.9431549
164.4967,...,ThisCharacter,1.010712,0.5053558
165.5074,I DON'T HAVE AN UMBRELLA WITH ME.,MainCharacter,2.485397,0.3106747
167.9928,IT HAPPENS.,ThisCharacter,0.9934845,0.3311615
168.9863,MAYBE YOU WANT TO WAIT TILL THE RAIN STOPS.,ThisCharacter,3.710907,0.3710907
172.6972,HMM- I CANT.,MainCharacter,1.225937,0.3064842
173.9232,HEADING HOME?  ,ThisCharacter,0.8946228,0.1789246
174.8178,NOT REALLY.,MainCharacter,0.7620544,0.2540182
175.5798,(SIGH) JUST- HEADING BACK. ,MainCharacter,1.093384,0.1822306
241.4059,HELLO.,Girl,1.059998,0.5299988
242.4659,HI.,MainCharacter,0.7122803,0.3561401
243.1782,I SAW YOU TRYING TO WALK IN THE RAIN JUST THEN.,Girl,1.838882,0.1532402
245.0171,I- YEAH- (BITTERLY) I DIDN'T MEAN IT.,MainCharacter,3.8013,0.4751625
248.8184,THE RAIN IS TOO HEAVY YOU CAN'T GO LIKE THIS.,Girl,2.243973,0.2039975
251.0623,I KNOW- BUT I DON'T HAVE ONE WITH ME,MainCharacter,2.994308,0.2994308
254.0566,TRY SEE IF ANYONE CAN TAKE YOU.,Girl,4.296265,0.5370331
258.3529,RIGHT.,MainCharacter,0.7620239,0.381012
259.3969,HEY- YOU ARE BACK,Girl,1.408173,0.2816345
260.8051,YEAH. WELL- ARE YOU WAITING FOR SOMEONE IN HERE?,MainCharacter,10.4263,1.04263
271.2314,I’M HEADING BACK SOON. GOTTA FINISH MY CIGARETTE.,Girl,3.204559,0.3560621
274.436,OH- SURE. HOPE YOU DON’T MIND.  I’M JUST CURIOUS.,MainCharacter,5.788818,0.5262562
280.2248,I KNOW IT MAY SEEM WEIRD. BUT …,Girl,1.398804,0.1554226
281.6236,BUT ? ,MainCharacter,0.9110413,0.2277603
282.5346,NOTHING- I’M KINDA- JUST ENJOYING THE RAIN. BYE.,Girl,2.061981,0.229109
284.5966,BYE,MainCharacter,0.8838196,0.4419098
356.4201,EXCUSE ME- CAN I WALK WITH YOU?,MainCharacter,3.014587,0.3768234
359.4347,I DON‘T HAVE AN UMBRELLA WITH ME,MainCharacter,1.159668,0.1449585
360.5944,SURE.,ThisCharacter,1.060242,0.5301208
376.7303,The rain sucks.,MainCharacter,2.451843,0.6129608
379.1821,It's not the worst- right?,ThisCharacter,1.987946,0.3313242
381.4534,The rain sucks.,MainCharacter,0.9015808,0.2253952
382.355,It's not the worst- right?,ThisCharacter,0.8117676,0.1352946
423.2081,Hello?,MainCharacter,1.028564,0.5142822
424.2367,(Ignore you),ThisCharacter,1.230194,0.4100647
583.3638,Hey- see you again.,MainCharacter,2.005066,0.4010132
585.3688,OH- HI. ARE YOU FOLLOWING ME?,Girl,1.739014,0.2484305
587.1078,I’M ...NO..I’M JUST ,MainCharacter,2.91571,0.5831421
590.0236,I’M KIDDING. NO WORRIES. I RECOGNIZE YOU- I THINK WE LIVED IN THE SAME NEIGHBORHOOD.,Girl,2.667236,0.1667023
592.6908, YOU LOOK FAMILIAR TO ME TOO. BUT I DONT THINK I VE SEEN YOU.  JUST FAMILIAR. ,MainCharacter,3.296814,0.1648407
595.9876,WANT A RIDE?,Girl,0.977417,0.2443542
596.965,WHAT?,MainCharacter,0.9608765,0.4804382
597.9259,I SAW YOU DON'T HAVE AN UMBRELLA. AND WE LIVE CLOSE. I THINK WE CAN GO TOGETHER.,Girl,3.157043,0.1753913
601.0829,OF COURSE. THANK YOU!,MainCharacter,0.9611206,0.1922241
638.498,Do you like Rain?,MainCharacter,0.8117065,0.1623413
639.3097,It depends.,Girl,1.225891,0.4086304
640.5356,Depends on what?,MainCharacter,0.8616333,0.2154083
641.3972,Whether the sky is sad or not.,Girl,19.11273,2.389091
674.4653,THE ROAD’S BLOCKED,MainCharacter,10.51086,2.627716
684.9762,COME WITH ME- THIS WAY.,Girl,0.878479,0.1464132
695.7946,HEY,Girl,1.22345,0.6117249
697.0181,WHAT?,MainCharacter,0.8848877,0.4424438
697.903,WANT SOME MUSIC?,Girl,1.678162,0.4195404
699.5811,Er..,MainCharacter,1.142151,0.5710754
700.7233,What kind of music do you like?,Girl,1.502991,0.1878738
702.2263,Pop?,Girl,0.7546387,0.3773193
702.9809,Rock? Classic?,Girl,0.5873413,0.1957804
703.5682,**RAIN** I LIKE the song have a 'rain' in its name.,MainCharacter,4.687378,0.3906148
708.2556,Here you are. my music player.,Girl,1.999512,0.2856445
710.2551,Choose a song you like.,Girl,0.65979,0.109965
746.4606,Do you like her voice?,Girl,1.880554,0.3134257
748.3411,Yes. It's nice. ,MainCharacter,1.417419,0.2834839
749.7585,Well- it breaks my heart.,Girl,5.463745,0.9106242
809.9075,Hey,MainCharacter,0.1912231,0.09561157
810.0988,What?,Girl,0.7400513,0.3700256
810.8388,Well...Nothing,MainCharacter,0.8720093,0.4360046
853.845,Hey,MainCharacter,1.220398,0.610199
913.3394,What?,Girl,1.002014,0.5010071
914.3414,Well...Nothing,MainCharacter,2.461182,1.230591
