Time,Distance,angle,PosX,PosZ,AngleX,AngleY,AngleZ
26.01187,0,0,99.64,14.48,327.7382,224.6702,16.54325
27.00644,0.08999844,113.304,99.64,14.48,359.4011,120.0274,2.668188E-08
28.01696,0,0,99.64,14.48,359.4011,120.0274,2.668188E-08
29.02753,0,0,99.64,14.48,359.4011,120.0274,2.668188E-08
30.03809,0,0,99.64,14.48,359.4011,120.0274,2.668188E-08
31.03989,0,0,99.64,14.48,359.4011,120.0274,2.668188E-08
32.04105,0,0,99.64,14.48,359.4011,120.0274,2.668188E-08
33.05173,0,0,99.64,14.48,359.4011,120.0274,2.668188E-08
34.05307,0,0,99.64,14.48,359.4011,120.0274,2.668188E-08
35.06408,0,0,99.64,14.48,359.4011,120.0274,5.336377E-08
36.07417,0,0,99.64,14.48,359.4011,120.0274,5.336377E-08
37.08473,0,8.308031,99.64,14.48,359.6267,111.7218,0.02318111
38.09832,0,127.3158,99.64,14.48,354.2144,205.5368,0.01438798
39.09868,0,101.1166,99.64,14.48,346.125,252.7826,359.0839
40.11116,0,21.45058,99.64,14.48,354.3144,249.65,0.0006377044
41.1218,0,1.459256,99.64,14.48,352.848,250.5835,1.720937E-06
42.12575,0,0.09551759,99.64,14.48,352.8477,250.5836,1.075586E-06
43.13786,0,0,99.64,14.48,352.8477,250.5836,2.151173E-07
44.14947,0,0,99.64,14.48,352.8477,250.5836,2.151173E-07
45.16008,0,0,99.64,14.48,352.8477,250.5836,2.151173E-07
46.17155,0,0,99.64,14.48,352.8477,250.5836,2.151173E-07
47.18239,0,0,99.64,14.48,352.8477,250.5836,2.151173E-07
48.19296,0,0,99.64,14.48,352.8477,250.5836,2.151173E-07
49.20359,0,0,99.64,14.48,352.8477,250.5836,2.151173E-07
50.21435,0,0,99.64,14.48,352.8477,250.5836,2.151173E-07
51.22583,0,0,99.64,14.48,352.8477,250.5836,2.151173E-07
52.23798,0,0,99.64,14.48,352.8477,250.5836,2.151173E-07
53.24834,0,0,99.64,14.48,352.8477,250.5836,2.151173E-07
54.25906,0,0,99.64,14.48,352.8477,250.5836,2.151173E-07
55.27099,0,0,99.64,14.48,352.8477,250.5836,2.151173E-07
56.28156,0,0,99.64,14.48,352.8477,250.5836,2.151173E-07
57.28302,0,0,99.64,14.48,352.8477,250.5836,2.151173E-07
58.29397,0,0,99.64,14.48,352.8477,250.5836,2.151173E-07
59.30718,0,78.76472,99.64,14.48,13.05474,181.328,0.3538861
60.3176,0,75.09878,99.64,14.48,8.340052,110.8421,-0.00134224
61.32888,0,28.66041,99.64,14.48,8.92196,137.9254,0.00481722
62.33874,0,0.5688052,99.64,14.48,8.118193,138.2675,6.468119E-07
63.34977,0,0.2373881,99.64,14.48,8.11772,138.2677,-6.468113E-07
64.35989,0,0.05595291,99.64,14.48,8.117366,138.2678,0
65.37044,0,0,99.64,14.48,8.11733,138.2677,-4.312071E-07
66.381,0,0.8563007,99.64,14.48,8.974782,138.3917,-0.0005095378
67.39157,0,58.4849,99.64,14.48,6.777878,196.5413,359.9148
68.39523,0,32.21077,99.64,14.48,10.73918,225.4783,0.00549986
69.41192,0,104.1215,99.64,14.48,358.6922,130.8625,359.6686
70.4222,0,109.3582,99.64,14.48,346.1596,58.59993,1.557858
71.4236,0,165.1831,99.64,14.48,17.50802,148.2308,358.8924
72.42813,0,259.45,99.64,14.48,334.2074,116.9646,359.8141
73.44018,0,229.4671,99.64,14.48,352.898,95.32482,2.061998
74.45019,0,35.5769,99.64,14.48,353.7664,67.85676,-0.001872941
75.46075,0,133.2157,99.64,14.48,1.933865,89.27977,358.0368
76.47132,1.706907,102.1144,100.1597,16.03168,10.07047,190.7616,359.9259
77.48189,0.3701409,1.702919,100.3346,16.28055,10.32974,192.6605,-1.073951E-05
78.49363,0.9771438,0,101.204,16.03764,10.33019,192.6609,-1.084801E-07
79.50386,0.2992532,0.118694,101.204,16.32233,10.33013,192.6607,0
80.50515,0.04182696,138.2018,101.1622,16.32033,12.13083,54.73838,0.03080429
81.51629,1.74846,0.507687,99.57355,15.75427,12.23997,53.94888,4.80498E-06
82.52628,2.334402,0.07912936,97.6862,14.38047,12.24054,53.94849,0
83.53688,0.2914501,0,97.45057,14.20895,12.24092,53.94861,0
84.55209,0.9254428,0.03956468,96.70235,13.66432,12.24129,53.94868,4.368186E-07
85.55302,0.3764015,0.174647,96.39803,13.44281,12.24161,53.94879,-1.310457E-06
86.56419,1.910177,0,97.90593,12.68598,12.24196,53.9489,-8.736394E-07
87.57278,2.265534,0.1514705,98.73592,14.42112,12.2423,53.94897,0
88.58335,2.146406,66.52013,99.68122,16.24916,14.79788,49.05239,0.05320009
89.59392,0.8273239,135.7588,98.97295,16.21512,5.07983,53.35707,359.1731
90.60448,0.8558527,59.55191,99.55621,16.24315,12.20711,112.6902,-0.0007390015
91.61506,1.809608,167.391,99.08153,15.6834,358.3572,309.1464,359.983
92.6252,1.968106,157.2633,100.9601,15.95193,8.478233,313.5763,359.8148
93.63645,1.200091,83.2654,100.4597,16.28657,8.218242,271.1586,359.8917
94.64814,1.840821,41.9879,98.65611,16.09627,8.559609,229.0727,0.003540548
95.659,2.341291,75.92188,97.25404,15.5232,6.529555,244.2603,359.9373
96.66639,1.604954,7.209295,96.7634,16.10895,6.401482,236.7491,-1.181304E-05
97.68008,2.210417,0.6257044,98.55672,15.27633,6.228931,237.3519,0.002519848
98.69089,2.290628,3.339729,97.72119,14.47933,5.455979,240.9256,4.288296E-06
99.70304,2.289745,0,99.43562,14.84005,5.455845,240.9261,4.288295E-07
100.714,2.223189,1.424329,98.83986,15.30408,5.455846,240.9261,4.288296E-07
101.7261,2.3413,0.07912936,100.5341,14.51494,5.455994,240.9263,4.288296E-07
102.7412,2.341304,0.03956468,99.39481,13.03051,5.456569,240.9264,0
103.752,2.134949,0.118694,98.36101,12.82566,5.457139,240.9264,0
104.7644,2.341298,0,99.6069,14.34875,5.457719,240.9265,-2.144154E-07
105.7762,2.039315,0,99.36718,12.8145,5.458304,240.9267,0
106.7895,2.146343,0.07912936,99.23042,13.32729,5.458872,240.9269,6.432475E-07
107.8042,1.475721,0,98.71299,13.43875,5.459453,240.9271,2.14416E-07
108.8157,2.067447,0.03956468,100.4629,14.36745,5.460022,240.9271,2.144162E-07
109.8303,1.387978,0.03956468,100.0971,14.53696,5.460417,240.9272,0
110.8358,1.630096,0,99.51137,14.21422,5.460784,240.9272,4.28833E-07
111.8502,2.323061,69.58051,98.77988,12.21107,5.371222,183.2673,0.1399677
112.8651,2.341304,32.76588,97.71799,10.47871,20.74481,201.0268,359.5767
113.8781,2.297687,46.30246,96.55155,10.85934,24.02899,179.5526,0.140986
114.8893,2.264333,28.0046,97.75438,9.336077,356.4671,186.2026,0.0003409167
115.8999,1.132421,35.8358,98.12189,8.826403,352.9961,182.5175,0.1845203
116.9105,0.6287532,14.797,98.04786,8.959496,0.6256031,175.9447,0.1600024
117.9214,1.634632,38.61494,96.62435,8.432053,8.382503,201.8852,0.2159717
118.9333,1.972201,73.66832,95.58048,8.450796,24.02619,138.6866,0.09566078
119.9432,1.412303,10.33224,96.98133,8.491375,20.79082,128.8432,-0.0002292236
120.9538,1.827217,83.59356,97.82111,9.310104,6.769488,164.4539,0.04570965
121.9644,0.3529571,0.5308634,97.76073,8.986757,6.690833,165.2188,6.339758E-06
122.9664,0,7.017594,97.76073,8.986757,7.512137,172.2249,0.1749249
123.9769,0,10.61721,97.76073,8.986757,8.763738,182.9011,0.4414946
124.9874,0,0,97.76073,8.986757,8.763738,182.9011,0.4414946
125.998,0,0,97.76073,8.986757,8.763738,182.9011,0.4414946
127.0087,0,0,97.76073,8.986757,8.763738,182.9011,0.4414946
128.0191,0,0,97.76073,8.986757,8.763738,182.9011,0.4414946
129.0297,0,0,97.76073,8.986757,8.763738,182.9011,0.4414946
130.0403,0,0,97.76073,8.986757,8.763738,182.9011,0.4414946
131.0508,0,0,97.76073,8.986757,8.763738,182.9011,0.4414946
132.0614,0,0,97.76073,8.986757,8.763738,182.9011,0.4414946
133.0724,0,0,97.76073,8.986757,8.763738,182.9011,0.4414946
134.0825,0,0,97.76073,8.986757,8.763738,182.9011,0.4414946
135.0852,0,16.95568,97.76073,8.986757,6.491755,166.0254,0.003691373
136.0978,0,49.06307,97.76073,8.986757,358.3,213.264,1.398176
137.1106,1.398048,65.09628,97.19579,10.17699,22.646,263.2657,359.99
138.124,2.341271,0.07912936,95.36541,11.63653,22.71056,263.3152,-2.776599E-06
139.1297,2.013684,0,93.55799,11.93359,22.71056,263.3152,-7.404264E-06
140.1432,0.781539,0,93.55799,12.6735,22.71056,263.3152,-7.404264E-06
141.1555,0.6143713,0,93.55799,13.2858,22.71056,263.3152,-7.404264E-06
142.1674,0,0,93.55799,13.2858,22.71056,263.3152,-7.404264E-06
143.1827,0,0,93.55799,13.2858,22.71056,263.3152,-7.404264E-06
144.1937,0,0,93.55799,13.2858,22.71056,263.3152,-7.404264E-06
145.2052,0,0,93.55799,13.2858,22.71056,263.3152,-7.404264E-06
146.2165,0,0,93.55799,13.2858,22.71056,263.3152,-7.404264E-06
147.2285,0,0,93.55799,13.2858,22.71056,263.3152,-7.404264E-06
148.2303,0,0,93.55799,13.2858,22.71056,263.3152,-7.404264E-06
149.2433,0.1206776,0,93.6217,13.37799,22.71056,263.3152,-7.404264E-06
150.256,1.263076,0,94.31226,12.66652,22.71056,263.3152,-7.404264E-06
151.2602,1.988613,58.04989,93.81682,12.49721,22.8527,205.9922,0.1781371
152.2723,2.005758,162.903,93.55799,13.65039,10.97259,69.13129,359.9057
153.2816,1.656907,171.9849,93.86163,12.19969,7.930488,190.5123,0.4460038
154.2934,2.295402,8.778582,94.59263,10.22039,10.63741,181.7545,0.0001076512
155.3047,2.229345,166.6425,93.94553,10.29763,344.5375,340.0289,0.5497828
156.3158,2.295398,52.52175,94.99532,12.32822,18.61046,341.2313,-0.0005459336
157.3258,2.341024,129.6815,96.42365,11.35099,359.827,84.58355,0.007350451
158.3364,2.295382,152.484,96.67258,13.20756,345.6399,299.8735,359.6609
159.3418,1.846202,134.2051,96.36496,14.28974,314.2792,215.4141,0.1771764
160.3566,2.295325,90.28236,95.8307,12.97702,0.04589772,256.3696,359.9749
161.3731,2.3413,53.3638,94.88943,11.01556,355.3042,238.0632,0.06214175
162.3889,2.341289,51.74253,94.43626,8.963095,1.880665,209.4363,0.003673792
163.404,2.045089,0,93.47667,7.420953,1.865089,209.4796,7.474478E-07
164.417,0.6118316,0,93.74697,6.972807,1.865084,209.4796,2.135565E-07
165.4229,0.6456755,42.98526,93.96141,6.531728,4.817954,166.6354,0.461875
166.4335,1.155052,41.66035,94.88819,5.845556,9.646388,125.1005,0.000372821
167.4441,1.69628,51.77085,96.1777,4.777791,4.03671,176.5809,0.5205775
168.4558,0.5874743,58.59908,96.05727,4.223587,2.572446,235.4094,0.0003642881
169.4664,1.755148,73.64349,96.88023,2.805013,3.994419,163.6739,0.0004514622
170.4774,2.092458,77.57938,98.70928,2.326952,357.0791,86.34711,-0.0007115843
171.4875,0.9941263,17.31265,98.93571,3.141125,359.3591,103.3141,359.8069
172.4984,0.8602401,23.35952,98.62055,3.915096,9.252991,124.7982,-0.0002971376
173.5087,1.035887,0,99.48837,3.482572,9.254907,124.8016,0
174.5192,0.7869723,0.03956468,100.1346,3.033419,9.255495,124.8017,0
175.5298,1.939283,24.00177,100.1309,1.63282,6.852556,100.9099,-0.004731475
176.5406,1.709446,0.1582587,99.12392,3.005084,6.826656,100.618,-2.149675E-07
177.5509,0.08861816,0.07912936,99.08296,3.083531,6.826617,100.6175,-2.149674E-07
178.5615,0,0,99.08296,3.083531,6.826584,100.617,8.598697E-07
179.5842,1.332361,121.1651,99.35545,2.170769,6.117752,221.5429,359.9551
180.5948,1.857392,37.71312,98.93394,0.4029732,7.578699,183.5561,7.681696E-05
181.6053,1.379655,0,98.09742,-0.6603794,7.579596,183.5471,5.383119E-08
182.6162,0.8896287,0,97.86555,-1.49691,7.580165,183.5471,-2.691564E-08
183.6268,0.6955065,0,97.76717,-2.181437,7.580748,183.5471,-5.383133E-08
184.637,0.6969418,0.2756914,97.72582,-2.877148,8.022475,183.1015,5.052022E-06
185.6476,2.384186E-07,0,97.72582,-2.877148,8.024022,183.1003,1.347211E-08
186.6582,0,0,97.72582,-2.877148,8.024598,183.1001,0
187.6687,0,0,97.72582,-2.877148,8.025165,183.1001,1.347215E-08
188.6793,0,0,97.72582,-2.877148,8.025746,183.1001,5.388867E-08
189.6899,0,0,97.72582,-2.877148,8.026306,183.1001,1.347218E-08
190.7007,0,0,97.72582,-2.877148,8.026891,183.1001,0
191.7113,0,0.03956468,97.72582,-2.877148,8.027463,183.1002,-2.694445E-08
192.7216,0,0.07912936,97.72582,-2.877148,8.028049,183.1002,-1.347224E-08
193.7321,0,0,97.72582,-2.877148,8.028618,183.1002,-2.694452E-08
194.7482,0,0.03956468,97.72582,-2.877148,8.029209,183.1002,-2.694456E-08
195.7594,0,0,97.72582,-2.877148,8.029795,183.1002,0
196.7698,0,0,97.72582,-2.877148,8.030364,183.1002,-2.694464E-08
197.7805,0,0,97.72582,-2.877148,8.030952,183.1002,0
198.7909,0,0,97.72582,-2.877148,8.031528,183.1002,-5.388944E-08
199.8015,0,0,97.72582,-2.877148,8.032112,183.1002,0
200.8121,0,0,97.72582,-2.877148,8.032685,183.1002,-4.041719E-08
201.8229,0,0.2769528,97.72582,-2.877148,8.03326,183.1002,0
202.8332,0,0.1978234,97.72582,-2.877148,8.033826,183.1002,-6.736217E-08
203.8438,0,0.1978234,97.72582,-2.877148,8.034398,183.1002,-5.388981E-08
204.8543,0,0.1978234,97.72582,-2.877148,8.034962,183.1002,-1.347247E-08
205.8652,0,0.2373881,97.72582,-2.877148,8.035546,183.1002,-1.347249E-08
206.8759,0,0.174647,97.72582,-2.877148,8.036121,183.1002,0
207.8867,0,0.03956468,97.72582,-2.877148,8.036703,183.1002,-2.694506E-08
208.8975,0,0.03956468,97.72582,-2.877148,8.037292,183.1002,1.347255E-08
209.9082,0,0.03956468,97.72582,-2.877148,8.037866,183.1002,-2.694513E-08
210.9228,0,0.03956468,97.72582,-2.877148,8.038456,183.1003,-2.694517E-08
211.94,0,45.75686,97.72582,-2.877148,7.837528,228.7646,359.9424
212.9478,0,69.54417,97.72582,-2.877148,8.406593,231.6497,-0.002408979
213.9641,0,0.1978234,97.72582,-2.877148,8.402675,231.328,-8.630378E-07
214.9801,0,0.3165174,97.72582,-2.877148,8.402617,231.3278,2.157594E-07
215.9955,0,0,97.72582,-2.877148,8.402617,231.3278,2.157594E-07
217.0033,0,79.78682,97.72582,-2.877148,355.9125,241.2949,1.144746
218.0082,0,155.7653,97.72582,-2.877148,0.2010728,106.6152,359.9931
219.0226,0,165.2901,97.72582,-2.877148,18.08768,304.0368,0.517392
220.0341,0.4203287,49.98956,97.33875,-3.016371,11.15732,254.4029,-0.00466134
221.0363,2.080554,0,95.46893,-2.161741,11.1401,254.2735,-4.350848E-07
222.0485,1.648479,51.82181,94.44847,-1.033232,13.67117,202.6733,0.03429902
223.0597,1.171195,46.762,95.28085,-0.7482624,11.68427,180.5613,-0.003578377
224.0699,0.7429677,0.6512126,95.92009,-1.063869,11.74456,181.5475,-6.948986E-07
225.0711,0.6861186,0.4373688,96.4726,-1.437698,11.812,181.0529,0.0002814485
226.0813,0.6998569,0.7242121,96.96477,-1.935242,11.80109,179.9976,2.068196E-08
227.092,0.6861346,4.152609,97.43308,-2.43646,11.61278,184.4626,8.318477E-05
228.1027,0.7038972,24.82828,97.83659,-2.998268,3.403858,207.3509,0.2137074
229.106,0.2742278,52.59468,97.68315,-3.221128,7.533093,249.8498,359.6446
230.1183,0,70.6656,97.68315,-3.221128,12.22918,320.6248,-0.001561555
231.1348,0,0,97.68315,-3.221128,12.23626,320.6788,-4.368103E-07
232.1409,0.03608914,37.64911,97.69683,-3.187738,345.3224,326.7948,0.199028
233.1417,1.804612,109.2861,96.41143,-1.999846,321.7754,257.1526,359.2738
234.1523,1.510314,52.1666,95.31037,-0.9769106,11.14141,273.7596,-0.004927793
235.1642,1.067414,0,94.60686,-0.1741409,11.24115,273.7831,-1.740946E-06
236.1747,0.7047353,0,94.14255,0.3560181,11.24148,273.7832,-8.704741E-07
237.1874,0.7016611,0.07912936,94.03296,0.9613209,11.24182,273.7832,4.352377E-07
238.1948,0.3610938,0.07912936,94.1973,1.275096,11.24217,273.7832,0
