Time,State
134.7121,TalkWithManInCafe
169.6156,TryGoInRain
254.7,WalkInStreetOne
340.32,SeeBuilding
344.52,BorrowUmbrella
403.5,WalkInStreetTwo
449.54,SeeTakePhoto
506.72,SeeGirlStreetTwo
511.9149,FindGirlStreetTwo
527.76,WalkInStreetThree
566.74,WalkOutStreetThree
592.08,InBusStop
607.9352,WalkWithGirl
702.4,WalkInStreetFour
717.9521,ListenToMusic
785.92,WalkOutStreetFour
815.06,WalkIntoPeople
850.0528,WalkAcrossRoadWithGirl
860.0595,DepartFromGirl
861.1224,FindGirl
911.14,WalkInStreetColorful
940.32,PlayEndAnimation
947.7485,End
