Time,Distance,angle,PosX,PosZ,AngleX,AngleY,AngleZ
0,0,0,31.63,-0.68,0,22.70003,0
0.202822,0.09349969,30.50346,31.63,-0.68,24.35391,4.192437,-1.171458E-07
0.4113965,0.04968607,0,31.63,-0.68,24.35391,4.192437,-1.171458E-07
0.6262445,0.036726,0,31.63,-0.68,24.35391,4.192437,-1.171458E-07
0.8416106,8.821487E-05,0,31.63,-0.68,24.35391,4.192437,-1.171458E-07
1.048134,0,0,31.63,-0.68,24.35391,4.192437,-1.171458E-07
1.263499,0,3.80144,31.63,-0.68,21.93049,7.104928,0.0325052
1.479217,0,8.082842,31.63,-0.68,19.86547,14.74602,0.04049169
1.694242,0,14.35132,31.63,-0.68,20.44568,29.0404,359.9727
1.909602,0,9.902059,31.63,-0.68,21.39674,38.91221,359.9806
2.124979,0,2.060578,31.63,-0.68,21.58805,41.01211,-0.003496433
2.340334,0,3.482073,31.63,-0.68,20.02871,38.1373,359.9642
2.555699,0,14.19355,31.63,-0.68,17.17434,24.24824,359.9057
2.771066,0,12.91714,31.63,-0.68,15.75858,11.41772,359.9477
2.986433,0,6.221532,31.63,-0.68,15.73102,5.2402,-0.002129067
3.201808,0,9.651417,31.63,-0.68,18.67686,356.0708,0.07108566
3.417166,0,5.793588,31.63,-0.68,20.80157,350.6585,0.02907443
3.632538,0,0.6466732,31.63,-0.68,21.12393,349.8716,0.005594175
3.84801,0,0.2103506,31.63,-0.68,21.17487,349.9171,0.0008659214
4.063267,0,9.296397,31.63,-0.68,20.20563,359.1747,0.02992342
4.278692,0,9.081312,31.63,-0.68,18.5156,8.098482,0.03480655
4.494001,0.01028966,2.168121,31.63044,-0.6697205,18.06584,10.25171,0.007962979
4.709374,0.364931,1.775613,31.6903,-0.309892,17.15197,11.80083,0.004665248
4.924923,0.7329121,0.174647,31.83921,0.4077301,16.79696,11.89344,0.0007365347
5.1401,0.7546,0,31.99476,1.146125,16.74483,11.90705,0.0001093299
5.355467,0.6859999,3.717793,32.13037,1.818552,16.87375,8.174957,0.001457273
5.571105,0.7545998,4.496768,32.2148,2.568096,17.09452,4.190398,0.001108506
5.7862,0.7546004,5.426847,32.29574,3.318081,17.43663,9.628679,-0.003295003
6.001567,0.7546003,1.121443,32.42625,4.061275,17.57527,10.64301,-0.0004973818
6.216944,0.7545986,0.8354577,32.5606,4.80381,17.97505,10.09441,0.0001222958
6.432379,0.6859986,0,32.68135,5.479098,18.07182,10.21943,-2.132934E-06
6.647666,0.7545994,1.076373,32.75685,6.226818,18.35856,11.30126,-0.001906162
6.863033,0.7546005,2.109017,32.51075,6.933858,18.68194,13.43406,-0.001726588
7.078444,0.7545994,0.5454819,32.12428,7.581966,18.7636,14.21965,-0.0003554934
7.293767,0.6859995,0.4440045,31.83359,8.20081,18.59134,14.7529,0.0008257894
7.509133,0.549206,0.4131461,31.84176,8.640059,18.3592,15.32063,0.0003299139
7.724504,0.08654604,0,31.9283,8.64,18.32525,15.40404,5.32885E-05
7.939867,0.002943277,0,31.93125,8.64,18.32026,15.4163,7.869383E-06
8.15551,0,0,31.93125,8.64,18.31956,15.41804,1.57387E-06
8.3706,0,0,31.93125,8.64,18.31943,15.41835,0
8.585968,0,0.03956468,31.93125,8.64,18.31941,15.4184,4.496769E-07
8.801333,0,0,31.93125,8.64,18.31941,15.4184,6.745152E-07
9.016781,0,0,31.93125,8.64,18.31941,15.4184,6.745152E-07
9.232066,0,0,31.93125,8.64,18.31941,15.4184,6.745152E-07
9.447433,0,0,31.93125,8.64,18.31941,15.4184,6.745152E-07
9.6628,0,0,31.93125,8.64,18.33272,15.44369,-2.023701E-06
9.878176,0,0,31.93125,8.64,18.34088,15.4592,-2.248663E-07
10.09353,0,0,31.93125,8.64,18.34205,15.4614,4.497357E-07
10.3089,0,0,31.93125,8.64,18.34225,15.4618,0
10.5248,0,0,31.93125,8.64,18.34239,15.46185,0
10.73983,0,0,31.93125,8.64,18.34252,15.46187,-6.746054E-07
10.955,0,0,31.93125,8.64,18.34264,15.46188,2.248686E-07
11.17037,0,0.03956468,31.93125,8.64,18.34277,15.46189,-4.497376E-07
11.38573,0,0,31.93125,8.64,18.34286,15.4619,-2.248689E-07
11.6011,0,0,31.93125,8.64,18.48606,15.50015,-1.620404E-05
11.81669,0,0,31.93125,8.64,18.53057,15.51243,-3.151605E-06
12.03184,0,0,31.93125,8.64,18.53863,15.51465,-4.502505E-07
12.24734,0,0,31.93125,8.64,18.53981,15.51498,2.251268E-07
12.46257,0,0,31.93125,8.64,18.53999,15.51503,0
12.67793,0,0,31.93125,8.64,18.54011,15.51504,-4.502544E-07
12.8933,0,0.03956468,31.93125,8.64,18.54019,15.51505,-2.251274E-07
13.10963,0,0.09551759,31.93125,8.64,18.54028,15.51506,0
13.32403,0,0,31.93125,8.64,18.54037,15.51507,-2.251275E-07
13.53983,0,0,31.93125,8.64,18.54045,15.51507,-4.502552E-07
13.75485,0,0,31.93125,8.64,18.54053,15.51508,-2.251277E-07
13.97043,0,0,31.93125,8.64,18.54062,15.51509,0
14.18551,0,0,31.93125,8.64,18.5407,15.5151,-2.25128E-07
14.40087,0,0,31.93125,8.64,18.54079,15.51511,0
14.61623,0,0,31.93125,8.64,18.54087,15.51511,-6.753846E-07
14.83175,0,0,31.93125,8.64,18.54095,15.51512,-6.75385E-07
15.04697,0,0.03956468,31.93125,8.64,18.54104,15.51513,0
15.26235,0,0,31.93125,8.64,18.54113,15.51514,0
15.4777,0,0,31.93125,8.64,18.54121,15.51514,-9.005146E-07
15.69307,0,0.03956468,31.93125,8.64,18.54129,15.51515,-9.00515E-07
15.90859,0,0,31.93125,8.64,18.54138,15.51516,-6.753866E-07
16.12419,0,0,31.93125,8.64,18.54146,15.51517,-9.005159E-07
16.33917,0,0,31.93125,8.64,18.54154,15.51518,-2.251291E-07
16.55481,0,0,31.93125,8.64,18.54162,15.51519,0
16.7699,0,0,31.93125,8.64,18.5417,15.51519,-6.753879E-07
16.98527,0,0,31.93125,8.64,18.54179,15.5152,-6.753883E-07
17.20063,0,0,31.93125,8.64,18.54188,15.51521,-4.502591E-07
17.416,0,0,31.93125,8.64,18.54195,15.51522,-2.251296E-07
17.63137,0,0,31.93125,8.64,18.54204,15.51522,-6.753893E-07
17.84673,0,0,31.93125,8.64,18.54212,15.51523,-6.753895E-07
18.06229,0,0,31.93125,8.64,18.54221,15.51524,-2.2513E-07
18.2775,0,0,31.93125,8.64,18.5423,15.51525,-9.005204E-07
18.49294,0,0.07912936,31.93125,8.64,18.54238,15.51525,-9.005207E-07
18.7082,0,0.03956468,31.93125,8.64,18.54247,15.51526,-2.251303E-07
18.92357,0,0,31.93125,8.64,18.54256,15.51527,-4.502608E-07
19.13893,0,0,31.93125,8.64,18.54264,15.51528,-4.502611E-07
19.35431,0,0,31.93125,8.64,18.54272,15.51529,-2.251306E-07
19.56985,0,0,31.93125,8.64,18.54281,15.5153,0
19.78503,0,0,31.93125,8.64,18.54289,15.5153,-6.753926E-07
20.0004,0,0.03956468,31.93125,8.64,18.54297,15.51531,-4.50262E-07
20.21577,0,0,31.93125,8.64,18.54305,15.51532,-2.251311E-07
