Time,Dialog,Character,LastTime,TimePreWord
24.21689,Want a cup of coffee?,ThisCharacter,3.035427,0.5059045
27.25231,Latte. Thanks. ,MainCharacter,1.712822,0.4282055
28.96514,It’s 3.45 dollars. ,ThisCharacter,3.316187,0.6632374
32.28132,Do you have a Reward card? ,ThisCharacter,2.620575,0.3275719
34.9019,Yes … damn. I left it in my house. ,MainCharacter,2.718754,0.2471594
37.62065,Don’t worry. Bring it next time.,ThisCharacter,2.697659,0.3853798
40.31831,The reward card is a joke- isn’t it?,ThisCharacter,2.879654,0.3199615
43.19796,The businessman believe it can let people buy more.,ThisCharacter,3.278202,0.3278202
46.47617,But people just forget the card right after they turn around.,ThisCharacter,3.446178,0.2871815
49.92234,Well- I do have the card.,MainCharacter,1.923748,0.2748211
51.84609,And I have already collect 9 seals. ,MainCharacter,5.245129,0.582792
57.09122,Well- man- don’t take it serious. It's just a joke.,ThisCharacter,2.423283,0.2202984
59.5145,And- in fact- the reward card always let you buy something you don’t really need. ,ThisCharacter,7.001801,0.4118706
66.5163,There is nothing about the money.,MainCharacter,3.535286,0.5050408
70.05159,I’ll be back. Bye.,MainCharacter,1.959763,0.3919525
79.65703,It’s raining. You’ll get wet. ,ThisCharacter,2.360123,0.3371604
82.01715,Stay here until the rain stops. ,ThisCharacter,2.222183,0.2777729
99.24262,Why the rain is Hallucinogenic? ,MainCharacter,2.90802,0.4154314
102.1506,No one knows.,ThisCharacter,1.366173,0.3415432
103.5168,When it will stop?,MainCharacter,1.579857,0.3159714
105.0967,No one knows. ,ThisCharacter,1.423073,0.2846146
179.8352,Want a cup of coffee? ,ThisCharacter,1.363159,0.194737
185.6951,It’s raining. You’ll get wet. ,ThisCharacter,1.605957,0.2294224
187.3011,Stay here until the rain stops. ,ThisCharacter,1.632904,0.204113
196.9848,Why the rain is Hallucinogenic? ,MainCharacter,1.58989,0.2271271
198.5747,No one knows.,ThisCharacter,0.7671814,0.1917953
199.3419,When it will stop?,MainCharacter,0.1608124,0.03216248
199.5027,No one knows. ,ThisCharacter,0.4513855,0.0902771
226.9852,Want a cup of coffee? ,ThisCharacter,1.147202,0.1638859
259.5606,Boy- take care.  It’s not fun to play in the rain. ,ThisCharacter,10.45468,0.7467629
270.0153,I need to go home. Can you help? ,MainCharacter,0.6845398,0.06845398
270.6999,I’m working now. ,ThisCharacter,0.5996094,0.1199219
271.2995,But I can send you to the next block. ,ThisCharacter,0.6672974,0.0606634
271.9668,Thank you.,MainCharacter,0.9000854,0.3000285
